date,BTC,FED,Rates
10/7/2013,119.73,3758663,0.08
10/14/2013,130.68,3813599,0.1
10/21/2013,160.57,3839033,0.09
10/28/2013,187.3,3843396,0.08
11/4/2013,211.02,3851623,0.08
11/11/2013,310.63,3907424,0.08
11/18/2013,486.48,3906620,0.09
11/25/2013,746.83,3925876,0.09
12/2/2013,1053.87,3932626,0.08
12/9/2013,902.75,3993955,0.09
12/16/2013,813.31,4008062,0.09
12/23/2013,638.74,4032575,0.09
12/30/2013,739.62,4023640,0.08
1/6/2014,863.78,4028185,0.08
1/13/2014,872.51,4071528,0.07
1/20/2014,859.84,4097914,0.07
1/27/2014,849.42,4102138,0.07
2/3/2014,846.35,4109285,0.07
2/10/2014,710.47,4119474,0.06
2/17/2014,626.72,4149224,0.06
2/24/2014,567.7,4159972,0.07
3/3/2014,592.43,4171762,0.07
3/10/2014,633.45,4181361,0.08
3/17/2014,627.68,4222081,0.08
3/24/2014,574.1,4226971,0.08
3/31/2014,497.69,4236441,0.08
4/7/2014,448.14,4244188,0.08
4/14/2014,434.96,4283967,0.09
4/21/2014,497.3,4296339,0.1
4/28/2014,451.62,4296049,0.09
5/5/2014,438.32,4303143,0.09
5/12/2014,441.51,4336649,0.08
5/19/2014,452.75,4327560,0.09
5/26/2014,541.76,4322654,0.09
6/2/2014,615.37,4330917,0.09
6/9/2014,647.83,4340904,0.09
6/16/2014,595.51,4368168,0.1
6/23/2014,590.08,4368348,0.1
6/30/2014,604.73,4377031,0.1
7/7/2014,631.33,4383401,0.09
7/14/2014,622.88,4398201,0.09
7/21/2014,620.53,4410746,0.09
7/28/2014,593.89,4406637,0.09
8/4/2014,581.99,4410111,0.09
8/11/2014,581.64,4431923,0.09
8/18/2014,495.5,4412924,0.09
8/25/2014,508.23,4413736,0.09
9/1/2014,493.83,4415587,0.08
9/8/2014,477.22,4421408,0.09
9/15/2014,472.95,4449588,0.09
9/22/2014,416.81,4459050,0.09
9/29/2014,395.8,4450260,0.09
10/6/2014,346.01,4455403,0.09
10/13/2014,370.92,4474360,0.09
10/20/2014,383.31,4481616,0.09
10/27/2014,353.84,4486754,0.09
11/3/2014,333.02,4486585,0.08
11/10/2014,353.54,4488895,0.09
11/17/2014,394.91,4492759,0.1
11/24/2014,365.5,4485931,0.1
12/1/2014,375.79,4486190,0.1
12/8/2014,367.41,4488865,0.12
12/15/2014,343.02,4502247,0.12
12/22/2014,320.82,4509462,0.13
12/29/2014,316.62,4497660,0.12
1/5/2015,292.48,4499524,0.11
1/12/2015,266.6,4516077,0.12
1/19/2015,207.83,4512936,0.13
1/26/2015,248.51,4500064,0.12
2/2/2015,229.43,4500348,0.09
2/9/2015,223.35,4501685,0.12
2/16/2015,235.05,4496851,0.12
2/23/2015,240.18,4486725,0.12
3/2/2015,256.81,4487583,0.09
3/9/2015,279.09,4489279,0.12
3/16/2015,288.1,4495888,0.11
3/23/2015,259.25,4480603,0.12
3/30/2015,246.15,4481799,0.11
4/6/2015,252.83,4483419,0.12
4/13/2015,233.86,4485366,0.12
4/20/2015,226.44,4489695,0.13
4/27/2015,226.91,4471499,0.13
5/4/2015,234.91,4472703,0.12
5/11/2015,239.21,4501188,0.13
5/18/2015,235.48,4480384,0.13
5/25/2015,237.97,4463981,0.13
6/1/2015,232.18,4465360,0.1
6/8/2015,225.8,4468005,0.13
6/15/2015,234.94,4487817,0.13
6/22/2015,245.24,4495055,0.13
6/29/2015,249.35,4479130,0.12
7/6/2015,261.79,4481289,0.13
7/13/2015,287.03,4493605,0.13
7/20/2015,278.11,4500503,0.13
7/27/2015,286.46,4485480,0.13
8/3/2015,283.37,4486329,0.11
8/10/2015,271.01,4489250,0.14
8/17/2015,256.8,4487208,0.15
8/24/2015,225.87,4475105,0.15
8/31/2015,227.53,4475886,0.13
9/7/2015,236.01,4478213,0.14
9/14/2015,234.87,4487809,0.14
9/21/2015,230.93,4497484,0.14
9/28/2015,235.42,4484111,0.12
10/5/2015,239.69,4486185,0.13
10/12/2015,245.64,4504704,0.13
10/19/2015,264.05,4501372,0.13
10/26/2015,283.03,4489339,0.12
11/2/2015,342.54,4489702,0.1
11/9/2015,374.09,4492012,0.12
11/16/2015,331.02,4486721,0.12
11/23/2015,322.78,4477088,0.12
11/30/2015,356.93,4478069,0.12
12/7/2015,385.53,4480436,0.13
12/14/2015,439.47,4489593,0.14
12/21/2015,449.13,4496523,0.37
12/28/2015,437.26,4486587,0.36
1/4/2016,430.81,4486606,0.27
1/11/2016,446.28,4501695,0.36
1/18/2016,392.27,4488840,0.36
1/25/2016,396.92,4482349,0.38
2/1/2016,374.71,4483495,0.34
2/8/2016,376.55,4486278,0.38
2/15/2016,394.02,4483629,0.38
2/22/2016,427.98,4489796,0.38
2/29/2016,430.21,4478485,0.36
3/7/2016,411.24,4481083,0.36
3/14/2016,414.21,4486333,0.36
3/21/2016,412.99,4492857,0.37
3/28/2016,418.03,4482840,0.37
4/4/2016,418.73,4484069,0.35
4/11/2016,421.49,4499729,0.37
4/18/2016,429.4,4490131,0.37
4/25/2016,454.58,4474665,0.37
5/2/2016,448.13,4477270,0.34
5/9/2016,455.45,4478411,0.37
